BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
3032381,"The forks over knives plan : how to transition to the life-saving, whole-food, plant-based diet / Alona Pulde, M.D. and Matt Lederman, M.D. ; with Marah Stets and Brian Wendel ; recipes by Darshana Thacker and Del Sroufe.","Pulde, Alona.","1476753296, 9781476753294",2014.,"Simon & Schuster,","Natural foods Health aspects, Veganism Health aspects, Cooking Natural foods, Vegan cooking, Menus, Cookbooks",acbk,nanf,NA,cap,2017-09-01T00:00:00.000,1
2049266,"America and the intellectual cold wars in Europe : Shepard Stone between philanthropy, academy, and diplomacy / Volker R. Berghahn.","Berghahn, Volker R. (Volker Rolf), 1938-",0691074798,2001.,"Princeton University Press,","Stone Shepard, Cold War Public opinion, Public opinion Europe History 20th century, Ideology, Anti Americanism Europe, Economic assistance American Europe, United States Foreign public opinion European, United States Relations Europe, Europe Relations United States, United States Cultural policy, United States Foreign relations 1945 1989 Public opinion",acbk,canf,NA,cen,2017-09-01T00:00:00.000,1
2639784,"Current diagnosis & treatment, surgery.",,,,McGraw-Hill Medical,"Surgery, Diagnosis Surgical Handbooks manuals etc, Surgery Operative Handbooks manuals etc",arbk,cs7r,NA,cen,2017-09-01T00:00:00.000,1
2973939,Kicking the sky : a novel / Anthony De Sa.,"De Sa, Anthony","156512927X, 9781565129276",2014.,"Algonquin Books of Chapel Hill,","Boys Fiction, Portuguese Canada Fiction, Toronto Ont Fiction, Bildungsromans, Domestic fiction",acbk,cafic,NA,cen,2017-09-01T00:00:00.000,1
2926288,Musk Ox counts / Erin Cabatingan ; illustrated by Matthew Myers.,"Cabatingan, Erin","1596437987, 9781596437982",2013.,"Roaring Brook Press,","Muskox Juvenile fiction, Zebras Juvenile fiction, Counting Juvenile fiction, Counting Fiction, Humorous stories",jcbk,ncpic,NA,gwd,2017-09-01T00:00:00.000,1
2695359,"The low GI guide to living well with PCOS : lose weight, boost fertility and gain control over polycystic ovarian syndrome with the glycemic index / Jennie Brand-Miller, Nadir R. Farid, Kate Marsh ; recipes by Chrissy Freer ... [and others].","Brand Miller, Janette, 1952-","073821390X, 9780738213903",c2011.,"Da Capo Press,","Polycystic ovary syndrome, Polycystic ovary syndrome Diet therapy, Glycemic index",acbk,nanf,NA,lcy,2017-09-01T00:00:00.000,1
2496929,Balto [videorecording] / Universal Pictures ; Amblin Entertainment ; produced by Steve Hickner ; directed by Simon Wells ; story by Cliff Ruby & Elana Lesser ; screenplay by Cliff Ruby ... [and others].,,"0783219601, 9780783219608",2002.,"Universal Studios Home Video,","Balto Dog Juvenile drama, Sled dogs Juvenile drama, Human animal relationships Juvenile drama, Animated films, Childrens films, Fiction films, Animal films, Video recordings for the hearing impaired",jcdvd,ncdvd,Floating,nga,2017-09-01T00:00:00.000,1
3118062,Exposed / Brighton Walsh.,"Walsh, Brighton.","125005964X, 9781250059642",2015.,"St. Martin's Griffin,","Young women Fiction, Criminals Fiction, Man woman relationships Fiction, Love stories, Romantic suspense fiction",acbk,cafic,NA,cen,2017-09-01T00:00:00.000,1
517562,Mississippi to Madrid : memoir of a Black American in the Abraham Lincoln Brigade / by James Yates.,"Yates, James, 1906-","0940880199, 0940880202",c1989.,"Open Hand Pub.,","Yates James 1906, Spain Ej‚rcito Popular de la Rep£blica Brigada Internacional XV Biography, African Americans Biography, African Americans Spain Biography, Spain History Civil War 1936 1939 Participation African American",acbk,naaanf,NA,dth,2017-09-01T00:00:00.000,1
2653487,"On the town [sound recording] / Leonard Bernstein, music ; Betty Comden & Adolph Green, lyrics.","Bernstein, Leonard, 1918-1990",,p1998.,"Sony Classical/Columbia/Legacy,",Musicals,accd,cacd,NA,cen,2017-09-01T00:00:00.000,2
